stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
1134039,30007144,"Amsterdam, Oldengaarde",52.332141,4.881837,0,stoparea:232960,null,1,null,null
1693304,30001414,"Amsterdam, Olof Palmeplein",52.396791,4.940119,0,stoparea:339172,null,0,null,null
1690100,30001415,"Amsterdam, Olof Palmeplein",52.396683,4.940164,0,stoparea:339172,null,0,null,null
1690101,30001416,"Amsterdam, Olof Palmeplein",52.396718,4.939841,0,stoparea:339172,null,0,null,null
14355,30007097,"Amsterdam, Olympiaplein",52.3463,4.865826,0,stoparea:2250,null,1,null,null
14354,30007098,"Amsterdam, Olympiaplein",52.346366,4.866588,0,stoparea:2250,null,1,null,null
14777,30007108,"Amsterdam, Olympiaweg",52.34528,4.858735,0,stoparea:2349,null,0,null,null
14572,30007120,"Amsterdam, Olympiaweg",52.34526,4.858339,0,stoparea:2349,null,1,null,null
103861,30007121,"Amsterdam, Olympisch Stadion",52.343807,4.856962,0,stoparea:32959,null,0,null,null
103872,30007202,"Amsterdam, Olympisch Stadion",52.344049,4.856842,0,stoparea:32959,null,1,null,null
2066171,57140450,"Amsterdam, Olympisch Stadion",52.343817,4.857197,0,null,null,1,null,CXX:57140450
2066174,57140460,"Amsterdam, Olympisch Stadion",52.344102,4.856606,0,null,null,1,null,CXX:57140460
2220752,30008088,"Amsterdam, Oosteinde",52.359961,4.901661,0,stoparea:356348,null,1,null,null
652255,30008204,"Amsterdam, Oostelijke Handelskade",52.375229,4.930483,0,stoparea:196735,null,1,null,null
652254,30008206,"Amsterdam, Oostelijke Handelskade",52.375068,4.930778,0,stoparea:196734,null,1,null,null
1689907,30008194,"Amsterdam, Oostenburgergracht",52.367916,4.924303,0,stoparea:339158,null,1,null,null
1689908,30008195,"Amsterdam, Oostenburgergracht",52.3678,4.924524,0,stoparea:339159,null,1,null,null
15636,30001351,"Amsterdam, Oosterlengte",52.405827,4.92232,0,stoparea:2497,null,0,null,null
15635,30001352,"Amsterdam, Oosterlengte",52.406113,4.922067,0,stoparea:2497,null,0,null,null
366918,57111351,"Amsterdam, Oosterlengte",52.405791,4.922276,0,stoparea:122460,null,1,null,CXX:57111351
1795362,57111351,"Amsterdam, Oosterlengte",52.406096,4.922141,0,stoparea:342143,null,0,null,null
1795298,57111352,"Amsterdam, Oosterlengte",52.405854,4.92229,0,stoparea:342143,null,1,null,null
1999315,57111352,"Amsterdam, Oosterlengte",52.406177,4.922111,0,stoparea:122460,null,0,null,CXX:57111352
1522982,30000029,"Amsterdam, Oostpoort",52.35707,4.927191,0,stoparea:295938,null,1,null,null
1522971,30000030,"Amsterdam, Oostpoort",52.357392,4.926938,0,stoparea:295938,null,0,null,null
14812,30001212,"Amsterdam, Oostzanerdijk",52.420238,4.881493,0,stoparea:2391,null,1,null,null
14813,30001213,"Amsterdam, Oostzanerdijk",52.42037,4.88083,0,stoparea:2391,null,1,null,null
1538968,57111280,"Amsterdam, Oostzanerdijk",52.42036,4.880801,0,stoparea:299925,null,1,null,null
1538935,57111290,"Amsterdam, Oostzanerdijk",52.420193,4.881479,0,stoparea:299925,null,1,null,null
1544947,30007195,"Amsterdam, Oranjebaan",52.302786,4.87311,0,stoparea:301105,null,0,null,null
2217604,30007199,"Amsterdam, Oranjebaan",52.303612,4.87093,0,stoparea:355357,null,1,null,null
1524121,30004000,"Amsterdam, Osdorper Ban",52.360199,4.788722,0,stoparea:296184,null,0,null,null
103888,30004010,"Amsterdam, Osdorper Ban",52.35978,4.789389,0,stoparea:32958,null,0,null,null
648490,57232240,"Amsterdam, Osdorperweg",52.34322,4.797653,0,null,null,1,null,CXX:57232240
648471,57232250,"Amsterdam, Osdorperweg",52.343192,4.797346,0,null,null,1,null,CXX:57232250
14804,30004021,"Amsterdam, Osdorpplein",52.35913,4.803226,0,stoparea:2382,null,1,null,null
14801,30004022,"Amsterdam, Osdorpplein",52.359624,4.80322,0,stoparea:2382,null,1,null,null
15609,30004096,"Amsterdam, Ottho Heldringstraat",52.346918,4.833795,0,stoparea:2698,null,null,null,null
15608,30004097,"Amsterdam, Ottho Heldringstraat",52.346969,4.833046,0,stoparea:2698,null,1,null,null
15417,30004418,"Amsterdam, Oude Haagseweg",52.334076,4.811376,0,stoparea:2723,null,1,null,null
14425,30004419,"Amsterdam, Oude Haagseweg",52.333411,4.809668,0,stoparea:2723,null,null,null,null
1377852,30004314,"Amsterdam, Oudenaardeplantsoen",52.34495,4.803824,0,stoparea:2694,null,0,null,null
14961,30004340,"Amsterdam, Oudenaardeplantsoen",52.345032,4.80416,0,stoparea:2694,null,1,null,null
15807,30007400,"Amsterdam, Overamstel",52.331569,4.917273,0,stoparea:2739,null,1,null,null
15806,30007401,"Amsterdam, Overamstel",52.331649,4.917214,0,stoparea:2739,null,1,null,null
15582,30009563,"Amsterdam, Overamstel",52.331797,4.918151,0,stoparea:2739,null,0,null,null
15126,30006043,"Amsterdam, Overtoom",52.362994,4.875099,0,stoparea:2771,null,1,null,null
15129,30006044,"Amsterdam, Overtoom",52.363452,4.874829,0,stoparea:2771,null,1,null,null
